caiman,alligator,,,,
hormiga,ant,,,,
abeja,bee,,,,
pajaro,bird,,,,
oso,bear,,,,
toro,bull,,,,
mariposa ,butterfly,,,,
camello,camel,,,,
canario ,canary,,,,
gato,cat,,,,
perro,dog,,,,
cangrejo,crab,,,,
venado,deer,,,,
cocodrilo,crocodile,,,,
pato ,duck,,,,
aguila,eagle,,,,
escorpion,scorpion,,,,
foca,seal,,,,
tiburon,shark,,,,
oveja,sheep,,,,
tigre,tiger,,,,
sapo,toad,,,,
trucha,trout,,,,
atun,tuna,,,,
pavo,turkey,,,,
tortuga,turtle,,,,
vibora,viper,,,,
avispa,wasp,,,,
ballena,whale,,,,
lobo,wolf,,,,
cebra,zebra,,,,
hipopotamo,hippo,,,,
caballo,horse,,,,
gaviota,gull,,,,
hamster,hamster,,,,
gorila,gorilla,,,,
zorro,fox,,,,
rana,frog,,,,
jirafa,giraffe,,,,
elefante,elephant,,,,
halcon,falcon,,,,
huron,ferret,,,,
pez,fish,,,,
mosquito,fly,,,,
jabali,boar,,,,
bufalo,buffalo,,,,
toro,bull,,,,
gallina,chicken,,,,
leon,lion,,,,
chita,cheetah,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
